Session: tests/session.79.1634143108
procedure_time,num_records_generated,num_blahd_pre,num_blahd_post,num_event_pre,num_event_post,num_job_pre,num_job_post
0.02840423583984375,100,99,99,99,99,0,27
0.028360843658447266,100,198,198,198,198,27,51
0.03865957260131836,200,397,397,397,397,51,103
0.03822731971740723,500,896,896,896,896,103,226
0.04754495620727539,1000,1895,1895,1895,1895,226,461
0.06682896614074707,1000,2894,2894,2894,2894,461,738
0.04600214958190918,100,2993,2993,2993,2993,738,780
0.04812264442443848,200,3192,3192,3192,3192,780,869
0.05838608741760254,500,3691,3691,3691,3691,869,1013
0.06848001480102539,1000,4690,4690,4690,4690,1013,1310
0.250701904296875,10000,14689,14689,14689,14689,1310,3668
0.1296396255493164,100,14788,14788,14788,14788,3668,3717
0.09040284156799316,200,14987,14987,14987,14987,3717,3796
0.11034941673278809,500,15486,15486,15486,15486,3796,3998
0.12236809730529785,1000,16485,16485,16485,16485,3998,4363
1.6827113628387451,50000,66484,66484,66484,66484,4363,16044
0.6125431060791016,100,66583,66583,66583,66583,16044,16094
0.6013600826263428,200,66782,66782,66782,66782,16094,16187
0.6107854843139648,500,67281,67281,67281,67281,16187,16383
0.6550183296203613,1000,68280,68280,68280,68280,16383,16784
3.6894726753234863,100000,168279,168279,168279,168279,16784,40783
1.5266516208648682,100,168378,168378,168378,168378,40783,40837
1.5950076580047607,200,168577,168577,168577,168577,40837,40939
1.5555882453918457,500,169076,169076,169076,169076,40939,41193
1.575829267501831,1000,170075,170075,170075,170075,41193,41614
305.5810196399689,500000,670074,670074,670074,670074,41614,156484
40.49033784866333,100,670173,670173,670173,670173,156484,156543
43.376219749450684,200,670372,670372,670372,670372,156543,156648
46.6262321472168,500,670871,670871,670871,670871,156648,156892
52.74262809753418,1000,671870,671870,671870,671870,156892,157322
1675.2196352481842,1000000,1671869,1671869,1671869,1671869,157322,396745
436.71420073509216,100,1671968,1671968,1671968,1671968,396745,396803
365.79754424095154,200,1672167,1672167,1672167,1672167,396803,396911
376.4353301525116,500,1672666,1672666,1672666,1672666,396911,397198
381.19082474708557,1000,1673665,1673665,1673665,1673665,397198,397663
